Acid Type,Quantity,Storage Temperature,Container Material,Exposure Time,Ventilation Quality,Safety Equipment,Storage Area,Previous Incident,Risk Level
Succinic Acid (C₄H₆O₄),12,19,Polypropylene,7,Fume Hood Ventilation,"Chemical Suit, Face Shield",Warehouse,Acid Spill,LOW RISK
Benzoic Acid (C₇H₆O₂),48,31,Borosilicate Glass,34,Industrial Ventilation System,"Safety Boots, Face Shield",Cold Storage Unit,Acid Burn,MEDIUM RISK
Tartaric Acid (C₄H₆O₆),105,79,HDPE Plastic,57,Poor,Safety Goggles,Warehouse,Fire Hazard,HIGH RISK
Iodic Acid (HIO₃),13,15,Glass,8,Good,Face Shield,Underground Storage,Acid Spill,LOW RISK
Chloric Acid (HClO₃),260,78,Borosilicate Glass,83,Moderate,Gloves,Hazardous Material Room,Explosion Risk,CRITICAL RISK
Periodic Acid (HIO₄),44,26,Borosilicate Glass,27,Low,"Lab Coat, Face Shield, Chemical-resistant Gloves",Outdoor Storage,Acid Spill,MEDIUM RISK
Caproic Acid (C₆H₁₂O₂),11,20,PVC (Polyvinyl Chloride),0,Low,Chemical-resistant Gloves,Underground Storage,Acid Spill,LOW RISK
Succinic Acid (C₄H₆O₄),53,73,Stainless Steel,68,Moderate,"Lab Coat, Full Body Protective Suit, Chemical-resistant Gloves",Underground Storage,Container Leakage,HIGH RISK
Gluconic Acid (C₆H₁₂O₇),135,48,Fiber-Reinforced Plastic (FRP),58,Fume Hood Ventilation,Eye Wash Station Access,Factory Floor,Acid Spill,HIGH RISK
Oxalic Acid (C₂H₂O₄),127,48,Borosilicate Glass,76,Fume Hood Ventilation,"Safety Boots, Lab Coat, Chemical-resistant Gloves, Chemical Suit, Full Body Protective Suit",Warehouse,Explosion Risk,HIGH RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),444,85,Glass,103,Moderate,"Chemical Suit, Full Body Protective Suit, Safety Boots, Lab Coat, Safety Goggles",Hazardous Material Room,Container Leakage,CRITICAL RISK
Methacrylic Acid (C₄H₆O₂),12,25,Glass,15,Moderate,"Chemical-resistant Gloves, Lab Coat, Chemical Suit, Gloves, Face Shield",Outdoor Storage,Acid Burn,LOW RISK
Stearic Acid (C₁₈H₃₆O₂),7,19,Stainless Steel,10,Industrial Ventilation System,"Eye Wash Station Access, Safety Boots",Warehouse,Toxic Gas Release,LOW RISK
Benzoic Acid (C₇H₆O₂),2,24,Carbon Steel (coated),10,Moderate,Safety Boots,Hazardous Material Room,Fire Hazard,LOW RISK
Methacrylic Acid (C₄H₆O₂),320,98,Borosilicate Glass,224,Good,Respirator Mask,Outdoor Storage,Fire Hazard,CRITICAL RISK
Adipic Acid (C₆H₁₀O₄),421,76,Stainless Steel,140,Industrial Ventilation System,"Full Body Protective Suit, Chemical Suit, Gloves, Chemical-resistant Gloves, Safety Goggles",Laboratory,Explosion Risk,CRITICAL RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),59,31,Glass,12,Industrial Ventilation System,"Respirator Mask, Face Shield, Eye Wash Station Access, Chemical-resistant Gloves, Full Body Protective Suit",Chemical Storage Room,Corrosion Damage,MEDIUM RISK
Salicylic Acid (C₇H₆O₃),9,22,Fiber-Reinforced Plastic (FRP),12,Industrial Ventilation System,Chemical Suit,Laboratory,Toxic Gas Release,LOW RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),68,61,HDPE Plastic,66,Good,Respirator Mask,Cold Storage Unit,None,HIGH RISK
Carbonic Acid (H₂CO₃),31,40,HDPE Plastic,14,High,Safety Goggles,Outdoor Storage,None,MEDIUM RISK
Oleic Acid (C₁₈H₃₄O₂),119,55,Glass,37,Industrial Ventilation System,"Safety Boots, Eye Wash Station Access, Chemical-resistant Gloves, Face Shield, Gloves",Hazardous Material Room,Explosion Risk,HIGH RISK
Benzoic Acid (C₇H₆O₂),251,70,HDPE Plastic,143,Poor,"Face Shield, Respirator Mask, Safety Boots, Safety Goggles, Eye Wash Station Access",Underground Storage,Acid Spill,CRITICAL RISK
Phosphoric Acid (H₃PO₄),42,47,Stainless Steel,60,Fume Hood Ventilation,"Gloves, Chemical-resistant Gloves, Face Shield, Full Body Protective Suit",Cold Storage Unit,Explosion Risk,HIGH RISK
Butyric Acid (C₄H₈O₂),13,22,Fiber-Reinforced Plastic (FRP),13,Poor,"Eye Wash Station Access, Safety Boots",Outdoor Storage,Acid Burn,LOW RISK
Propionic Acid (C₃H₆O₂),33,38,Ceramic Containers,19,Good,"Lab Coat, Safety Boots, Safety Goggles, Gloves",Underground Storage,Container Leakage,MEDIUM RISK
Citric Acid (C₆H₈O₇),481,80,Carbon Steel (coated),92,Fume Hood Ventilation,"Lab Coat, Gloves",Hazardous Material Room,None,CRITICAL RISK
Gluconic Acid (C₆H₁₂O₇),89,53,Stainless Steel,90,Industrial Ventilation System,"Safety Goggles, Chemical-resistant Gloves, Lab Coat, Respirator Mask",Factory Floor,Explosion Risk,HIGH RISK
Carbonic Acid (H₂CO₃),107,63,Fiber-Reinforced Plastic (FRP),72,Industrial Ventilation System,"Chemical-resistant Gloves, Full Body Protective Suit, Lab Coat",Warehouse,Corrosion Damage,HIGH RISK
Formic Acid (HCOOH),74,56,Borosilicate Glass,65,Moderate,"Chemical-resistant Gloves, Full Body Protective Suit, Respirator Mask",Factory Floor,Acid Burn,HIGH RISK
Succinic Acid (C₄H₆O₄),4,19,PVC (Polyvinyl Chloride),7,Good,"Face Shield, Lab Coat, Safety Boots, Full Body Protective Suit, Chemical Suit",Underground Storage,None,LOW RISK
Maleic Acid (C₄H₄O₄),18,29,Glass,35,Good,"Safety Boots, Chemical-resistant Gloves, Gloves, Full Body Protective Suit, Face Shield",Chemical Storage Room,Acid Burn,MEDIUM RISK
Carbonic Acid (H₂CO₃),4,20,PTFE (Teflon-lined),11,Poor,"Chemical-resistant Gloves, Gloves, Lab Coat, Chemical Suit, Safety Goggles",Warehouse,Toxic Gas Release,LOW RISK
Salicylic Acid (C₇H₆O₃),38,44,HDPE Plastic,10,High,"Full Body Protective Suit, Face Shield, Lab Coat",Warehouse,Container Leakage,MEDIUM RISK
Oleic Acid (C₁₈H₃₄O₂),66,42,Carbon Steel (coated),89,Moderate,"Safety Boots, Chemical-resistant Gloves, Full Body Protective Suit",Laboratory,Corrosion Damage,HIGH RISK
Butyric Acid (C₄H₈O₂),41,52,Fiber-Reinforced Plastic (FRP),88,Low,"Gloves, Chemical-resistant Gloves, Full Body Protective Suit, Lab Coat, Safety Boots",Warehouse,Corrosion Damage,HIGH RISK
Citric Acid (C₆H₈O₇),10,16,HDPE Plastic,8,Moderate,"Chemical Suit, Safety Goggles",Hazardous Material Room,Acid Spill,LOW RISK
Periodic Acid (HIO₄),220,72,Glass,128,High,"Chemical-resistant Gloves, Chemical Suit",Laboratory,Explosion Risk,CRITICAL RISK
Caproic Acid (C₆H₁₂O₂),346,112,Glass,127,Good,Respirator Mask,Factory Floor,None,CRITICAL RISK
Acrylic Acid (C₃H₄O₂),99,49,Fiber-Reinforced Plastic (FRP),67,Poor,"Chemical Suit, Safety Goggles, Chemical-resistant Gloves, Safety Boots",Laboratory,Acid Spill,HIGH RISK
Perchloric Acid (HClO₄),378,79,PTFE (Teflon-lined),152,Good,"Lab Coat, Chemical Suit",Cold Storage Unit,Acid Spill,CRITICAL RISK
Phosphoric Acid (H₃PO₄),11,16,Fiber-Reinforced Plastic (FRP),6,Good,"Safety Boots, Chemical Suit",Outdoor Storage,Acid Spill,LOW RISK
Benzoic Acid (C₇H₆O₂),278,80,Ceramic Containers,225,Fume Hood Ventilation,"Safety Goggles, Lab Coat, Chemical Suit, Respirator Mask",Hazardous Material Room,None,CRITICAL RISK
Hydrofluoric Acid (HF),5,23,Stainless Steel,12,Poor,"Safety Goggles, Chemical Suit",Outdoor Storage,Explosion Risk,LOW RISK
Boric Acid (H₃BO₃),70,73,Carbon Steel (coated),96,High,Chemical-resistant Gloves,Laboratory,Acid Burn,HIGH RISK
Hydrochloric Acid (HCl),417,110,PVC (Polyvinyl Chloride),87,High,"Lab Coat, Safety Boots, Chemical Suit, Face Shield, Respirator Mask",Hazardous Material Room,Acid Burn,CRITICAL RISK
Iodic Acid (HIO₃),2,23,PTFE (Teflon-lined),9,Good,"Face Shield, Respirator Mask",Factory Floor,Acid Spill,LOW RISK
Silicic Acid (H₄SiO₄),396,101,Borosilicate Glass,199,Industrial Ventilation System,"Chemical Suit, Lab Coat, Respirator Mask",Hazardous Material Room,Container Leakage,CRITICAL RISK
Oleic Acid (C₁₈H₃₄O₂),324,81,Borosilicate Glass,226,High,"Lab Coat, Face Shield, Respirator Mask, Chemical Suit, Eye Wash Station Access",Cold Storage Unit,None,CRITICAL RISK
Arsenic Acid (H₃AsO₄),28,27,Carbon Steel (coated),24,Fume Hood Ventilation,"Face Shield, Safety Goggles, Safety Boots",Factory Floor,Toxic Gas Release,MEDIUM RISK
Pyruvic Acid (C₃H₄O₃),45,28,PVC (Polyvinyl Chloride),31,Fume Hood Ventilation,"Respirator Mask, Chemical Suit, Gloves",Underground Storage,Acid Burn,MEDIUM RISK
Peracetic Acid (C₂H₄O₃),40,47,Carbon Steel (coated),84,Moderate,"Chemical Suit, Lab Coat, Safety Goggles",Chemical Storage Room,Explosion Risk,HIGH RISK
Succinic Acid (C₄H₆O₄),2,28,PTFE (Teflon-lined),14,High,"Eye Wash Station Access, Safety Goggles, Face Shield, Full Body Protective Suit, Safety Boots",Hazardous Material Room,Corrosion Damage,LOW RISK
Acetic Acid (CH₃COOH),46,61,Fiber-Reinforced Plastic (FRP),71,Fume Hood Ventilation,"Full Body Protective Suit, Gloves, Lab Coat, Safety Goggles, Safety Boots",Factory Floor,Fire Hazard,HIGH RISK
Chromic Acid (H₂CrO₄),120,64,PTFE (Teflon-lined),71,Good,Respirator Mask,Hazardous Material Room,Explosion Risk,HIGH RISK
Selenic Acid (H₂SeO₄),440,118,Ceramic Containers,175,Industrial Ventilation System,Gloves,Hazardous Material Room,Toxic Gas Release,CRITICAL RISK
Stearic Acid (C₁₈H₃₆O₂),258,101,Polypropylene,108,Moderate,"Chemical Suit, Full Body Protective Suit, Lab Coat",Chemical Storage Room,Explosion Risk,CRITICAL RISK
Bromic Acid (HBrO₃),49,58,Carbon Steel (coated),74,Low,"Eye Wash Station Access, Safety Boots",Warehouse,Explosion Risk,HIGH RISK
Citric Acid (C₆H₈O₇),37,34,Polypropylene,28,Industrial Ventilation System,"Safety Boots, Eye Wash Station Access",Factory Floor,Corrosion Damage,MEDIUM RISK
Selenic Acid (H₂SeO₄),64,69,PTFE (Teflon-lined),79,Fume Hood Ventilation,"Chemical Suit, Eye Wash Station Access",Factory Floor,Toxic Gas Release,HIGH RISK
Carbonic Acid (H₂CO₃),15,28,HDPE Plastic,14,Moderate,"Respirator Mask, Face Shield",Factory Floor,None,LOW RISK
Thiocyanic Acid (HSCN),15,21,Polypropylene,2,Industrial Ventilation System,"Eye Wash Station Access, Lab Coat",Laboratory,None,LOW RISK
Chloric Acid (HClO₃),51,30,HDPE Plastic,38,Industrial Ventilation System,"Chemical Suit, Eye Wash Station Access, Respirator Mask",Chemical Storage Room,Explosion Risk,MEDIUM RISK
Valeric Acid (C₅H₁₀O₂),31,27,HDPE Plastic,19,Moderate,"Safety Boots, Chemical Suit, Full Body Protective Suit, Safety Goggles, Chemical-resistant Gloves",Underground Storage,Fire Hazard,MEDIUM RISK
Nitric Acid (HNO₃),55,40,HDPE Plastic,38,Fume Hood Ventilation,Chemical Suit,Laboratory,Container Leakage,MEDIUM RISK
Tannic Acid (C₇₆H₅₂O₄₆),5,28,Borosilicate Glass,9,Good,Lab Coat,Warehouse,Acid Burn,LOW RISK
Thiocyanic Acid (HSCN),124,78,PTFE (Teflon-lined),57,Good,"Eye Wash Station Access, Safety Goggles, Full Body Protective Suit, Face Shield, Lab Coat",Underground Storage,Acid Spill,HIGH RISK
Phosphoric Acid (H₃PO₄),14,16,Fiber-Reinforced Plastic (FRP),7,Poor,"Chemical-resistant Gloves, Eye Wash Station Access, Full Body Protective Suit, Gloves, Safety Goggles",Laboratory,Explosion Risk,LOW RISK
Succinic Acid (C₄H₆O₄),135,40,Carbon Steel (coated),36,Moderate,"Safety Goggles, Respirator Mask, Full Body Protective Suit, Face Shield",Outdoor Storage,Corrosion Damage,HIGH RISK
Formic Acid (HCOOH),81,56,PTFE (Teflon-lined),78,Low,"Chemical Suit, Safety Boots, Eye Wash Station Access, Respirator Mask, Face Shield",Warehouse,Toxic Gas Release,HIGH RISK
Salicylic Acid (C₇H₆O₃),7,23,Carbon Steel (coated),9,Poor,Safety Goggles,Factory Floor,None,LOW RISK
Formic Acid (HCOOH),27,34,Ceramic Containers,15,Industrial Ventilation System,Full Body Protective Suit,Underground Storage,None,MEDIUM RISK
Sulfuric Acid (H₂SO₄),6,27,Polypropylene,7,Industrial Ventilation System,"Face Shield, Gloves, Full Body Protective Suit",Laboratory,Acid Spill,LOW RISK
Sulfuric Acid (H₂SO₄),2,26,Carbon Steel (coated),11,Industrial Ventilation System,"Lab Coat, Full Body Protective Suit, Safety Boots",Laboratory,Corrosion Damage,LOW RISK
Gluconic Acid (C₆H₁₂O₇),397,72,Carbon Steel (coated),148,Industrial Ventilation System,Safety Goggles,Chemical Storage Room,Fire Hazard,CRITICAL RISK
Salicylic Acid (C₇H₆O₃),13,34,Borosilicate Glass,27,Moderate,Safety Goggles,Laboratory,Explosion Risk,MEDIUM RISK
Tannic Acid (C₇₆H₅₂O₄₆),489,84,Ceramic Containers,125,Low,"Respirator Mask, Gloves, Full Body Protective Suit, Face Shield",Laboratory,Acid Spill,CRITICAL RISK
Butyric Acid (C₄H₈O₂),11,16,Stainless Steel,9,High,Safety Boots,Hazardous Material Room,Acid Burn,LOW RISK
Chloric Acid (HClO₃),46,46,Borosilicate Glass,39,Fume Hood Ventilation,"Lab Coat, Chemical-resistant Gloves, Eye Wash Station Access, Face Shield",Outdoor Storage,None,HIGH RISK
Perchloric Acid (HClO₄),1,29,Polypropylene,7,Industrial Ventilation System,"Gloves, Chemical-resistant Gloves, Safety Goggles, Eye Wash Station Access, Full Body Protective Suit",Chemical Storage Room,None,LOW RISK
Perchloric Acid (HClO₄),236,110,Stainless Steel,173,Fume Hood Ventilation,"Chemical-resistant Gloves, Chemical Suit",Chemical Storage Room,Container Leakage,CRITICAL RISK
Silicic Acid (H₄SiO₄),420,100,Polypropylene,159,Good,"Chemical-resistant Gloves, Respirator Mask, Safety Goggles, Face Shield, Gloves",Chemical Storage Room,Toxic Gas Release,CRITICAL RISK
Trifluoroacetic Acid (CF₃COOH),113,62,Carbon Steel (coated),94,Good,"Face Shield, Gloves, Chemical Suit, Chemical-resistant Gloves, Safety Goggles",Cold Storage Unit,Container Leakage,HIGH RISK
Hydrochloric Acid (HCl),174,99,Borosilicate Glass,94,Moderate,"Eye Wash Station Access, Full Body Protective Suit, Safety Boots",Laboratory,Toxic Gas Release,CRITICAL RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),142,70,Polypropylene,99,Low,"Full Body Protective Suit, Respirator Mask, Chemical-resistant Gloves, Chemical Suit, Gloves",Cold Storage Unit,Fire Hazard,CRITICAL RISK
Tannic Acid (C₇₆H₅₂O₄₆),55,41,Fiber-Reinforced Plastic (FRP),84,Poor,"Chemical Suit, Face Shield, Chemical-resistant Gloves",Outdoor Storage,Fire Hazard,HIGH RISK
Benzoic Acid (C₇H₆O₂),163,102,Borosilicate Glass,196,High,Eye Wash Station Access,Hazardous Material Room,Corrosion Damage,CRITICAL RISK
Malic Acid (C₄H₆O₅),160,48,Stainless Steel,36,Fume Hood Ventilation,"Eye Wash Station Access, Lab Coat, Safety Boots",Factory Floor,Fire Hazard,HIGH RISK
Hydrofluoric Acid (HF),71,43,Fiber-Reinforced Plastic (FRP),43,Fume Hood Ventilation,Lab Coat,Warehouse,None,HIGH RISK
Trifluoroacetic Acid (CF₃COOH),68,60,Carbon Steel (coated),94,Industrial Ventilation System,Chemical-resistant Gloves,Underground Storage,Fire Hazard,HIGH RISK
Trifluoroacetic Acid (CF₃COOH),48,74,Carbon Steel (coated),30,Good,"Respirator Mask, Full Body Protective Suit, Lab Coat",Laboratory,None,HIGH RISK
Palmitic Acid (C₁₆H₃₂O₂),147,53,Borosilicate Glass,36,High,"Full Body Protective Suit, Eye Wash Station Access",Laboratory,Explosion Risk,HIGH RISK
Maleic Acid (C₄H₄O₄),3,21,Fiber-Reinforced Plastic (FRP),6,Poor,"Respirator Mask, Face Shield",Cold Storage Unit,Container Leakage,LOW RISK
Malic Acid (C₄H₆O₅),121,77,Glass,34,High,Safety Goggles,Outdoor Storage,Acid Burn,HIGH RISK
Peracetic Acid (C₂H₄O₃),398,100,PTFE (Teflon-lined),224,Industrial Ventilation System,"Face Shield, Lab Coat",Cold Storage Unit,Fire Hazard,CRITICAL RISK
Peracetic Acid (C₂H₄O₃),114,56,PVC (Polyvinyl Chloride),95,Good,"Lab Coat, Face Shield, Chemical-resistant Gloves",Hazardous Material Room,Corrosion Damage,HIGH RISK
Stearic Acid (C₁₈H₃₆O₂),48,41,HDPE Plastic,66,Fume Hood Ventilation,Chemical-resistant Gloves,Laboratory,Acid Burn,HIGH RISK
Succinic Acid (C₄H₆O₄),201,107,PTFE (Teflon-lined),91,Good,"Chemical Suit, Lab Coat",Factory Floor,Acid Burn,CRITICAL RISK
Oleic Acid (C₁₈H₃₄O₂),48,36,Glass,13,Fume Hood Ventilation,"Gloves, Respirator Mask",Outdoor Storage,None,MEDIUM RISK
Tannic Acid (C₇₆H₅₂O₄₆),89,77,Ceramic Containers,76,Low,"Safety Boots, Lab Coat, Gloves, Chemical-resistant Gloves",Cold Storage Unit,Explosion Risk,HIGH RISK
Gluconic Acid (C₆H₁₂O₇),145,52,Borosilicate Glass,85,High,"Safety Goggles, Lab Coat",Factory Floor,Fire Hazard,HIGH RISK
Peracetic Acid (C₂H₄O₃),41,37,Carbon Steel (coated),27,Poor,"Safety Goggles, Face Shield, Chemical-resistant Gloves",Warehouse,None,MEDIUM RISK
Salicylic Acid (C₇H₆O₃),127,50,Ceramic Containers,57,Fume Hood Ventilation,"Eye Wash Station Access, Chemical-resistant Gloves, Full Body Protective Suit",Factory Floor,Acid Burn,HIGH RISK
Valeric Acid (C₅H₁₀O₂),14,16,Fiber-Reinforced Plastic (FRP),0,Fume Hood Ventilation,Gloves,Outdoor Storage,Container Leakage,LOW RISK
Hydrofluoric Acid (HF),92,75,Glass,49,Moderate,Respirator Mask,Factory Floor,Acid Spill,HIGH RISK
Gluconic Acid (C₆H₁₂O₇),268,99,PTFE (Teflon-lined),181,Moderate,"Chemical-resistant Gloves, Face Shield, Safety Goggles",Cold Storage Unit,Acid Spill,CRITICAL RISK
Picric Acid (C₆H₃N₃O₇),399,114,Polypropylene,119,Industrial Ventilation System,"Gloves, Face Shield, Full Body Protective Suit, Lab Coat",Cold Storage Unit,Fire Hazard,CRITICAL RISK
Silicic Acid (H₄SiO₄),75,70,Stainless Steel,56,Low,"Chemical Suit, Gloves, Full Body Protective Suit, Eye Wash Station Access, Chemical-resistant Gloves",Cold Storage Unit,Acid Spill,HIGH RISK
Nitric Acid (HNO₃),295,89,Stainless Steel,229,Fume Hood Ventilation,"Safety Goggles, Lab Coat, Respirator Mask, Chemical-resistant Gloves",Laboratory,Explosion Risk,CRITICAL RISK
Periodic Acid (HIO₄),466,88,Ceramic Containers,223,Moderate,"Respirator Mask, Safety Boots, Gloves",Chemical Storage Room,Toxic Gas Release,CRITICAL RISK
Thiocyanic Acid (HSCN),1,17,PTFE (Teflon-lined),9,Fume Hood Ventilation,"Chemical Suit, Safety Boots",Chemical Storage Room,Fire Hazard,LOW RISK
Malic Acid (C₄H₆O₅),91,48,Polypropylene,90,High,"Face Shield, Safety Boots, Chemical-resistant Gloves",Warehouse,Fire Hazard,HIGH RISK
Benzoic Acid (C₇H₆O₂),10,30,PVC (Polyvinyl Chloride),7,High,"Chemical Suit, Full Body Protective Suit, Chemical-resistant Gloves, Eye Wash Station Access",Factory Floor,Acid Spill,LOW RISK
Bromic Acid (HBrO₃),69,63,Carbon Steel (coated),89,Fume Hood Ventilation,"Eye Wash Station Access, Chemical-resistant Gloves, Full Body Protective Suit, Respirator Mask",Warehouse,Toxic Gas Release,HIGH RISK
Valeric Acid (C₅H₁₀O₂),89,67,Ceramic Containers,77,Good,Respirator Mask,Laboratory,Container Leakage,HIGH RISK
Propionic Acid (C₃H₆O₂),73,78,Carbon Steel (coated),59,Poor,"Respirator Mask, Gloves, Full Body Protective Suit",Outdoor Storage,Acid Burn,HIGH RISK
Hydrochloric Acid (HCl),95,69,PVC (Polyvinyl Chloride),94,Good,"Eye Wash Station Access, Full Body Protective Suit",Warehouse,None,HIGH RISK
Propionic Acid (C₃H₆O₂),347,101,Polypropylene,229,High,"Chemical Suit, Eye Wash Station Access, Lab Coat, Face Shield",Laboratory,Fire Hazard,CRITICAL RISK
Phosphoric Acid (H₃PO₄),142,62,Carbon Steel (coated),56,Fume Hood Ventilation,"Safety Goggles, Full Body Protective Suit, Lab Coat",Laboratory,Fire Hazard,HIGH RISK
Silicic Acid (H₄SiO₄),194,100,Fiber-Reinforced Plastic (FRP),172,Fume Hood Ventilation,"Full Body Protective Suit, Respirator Mask, Eye Wash Station Access, Chemical Suit",Factory Floor,Acid Burn,CRITICAL RISK
Boric Acid (H₃BO₃),69,78,HDPE Plastic,76,Moderate,Lab Coat,Factory Floor,Acid Spill,HIGH RISK
Pyruvic Acid (C₃H₄O₃),2,19,Borosilicate Glass,8,Fume Hood Ventilation,"Respirator Mask, Full Body Protective Suit",Cold Storage Unit,Acid Spill,LOW RISK
Hypochlorous Acid (HClO),28,35,Borosilicate Glass,16,High,"Eye Wash Station Access, Safety Goggles, Respirator Mask, Safety Boots, Gloves",Hazardous Material Room,Explosion Risk,MEDIUM RISK
Benzoic Acid (C₇H₆O₂),432,84,Ceramic Containers,184,Low,"Respirator Mask, Safety Goggles, Lab Coat, Safety Boots",Outdoor Storage,Corrosion Damage,CRITICAL RISK
Hypochlorous Acid (HClO),159,62,Ceramic Containers,72,Moderate,"Eye Wash Station Access, Chemical-resistant Gloves, Gloves",Underground Storage,Corrosion Damage,HIGH RISK
Thiocyanic Acid (HSCN),10,34,Fiber-Reinforced Plastic (FRP),15,High,"Full Body Protective Suit, Safety Goggles, Safety Boots, Eye Wash Station Access, Respirator Mask",Factory Floor,Fire Hazard,MEDIUM RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),54,31,Fiber-Reinforced Plastic (FRP),37,Poor,"Full Body Protective Suit, Respirator Mask, Lab Coat",Laboratory,Toxic Gas Release,MEDIUM RISK
Maleic Acid (C₄H₄O₄),38,43,Carbon Steel (coated),38,Good,"Lab Coat, Chemical Suit",Hazardous Material Room,Acid Spill,MEDIUM RISK
Fumaric Acid (C₄H₄O₄),10,43,Borosilicate Glass,31,Fume Hood Ventilation,"Respirator Mask, Lab Coat",Outdoor Storage,Container Leakage,MEDIUM RISK
Stearic Acid (C₁₈H₃₆O₂),6,24,PVC (Polyvinyl Chloride),15,Fume Hood Ventilation,Eye Wash Station Access,Outdoor Storage,Acid Spill,LOW RISK
Gluconic Acid (C₆H₁₂O₇),140,58,Ceramic Containers,41,High,"Safety Goggles, Eye Wash Station Access",Laboratory,Corrosion Damage,HIGH RISK
Valeric Acid (C₅H₁₀O₂),281,84,Polypropylene,135,Moderate,"Full Body Protective Suit, Safety Goggles, Face Shield, Eye Wash Station Access, Respirator Mask",Outdoor Storage,Acid Burn,CRITICAL RISK
Picric Acid (C₆H₃N₃O₇),352,89,HDPE Plastic,198,Low,"Safety Goggles, Lab Coat, Gloves, Respirator Mask",Hazardous Material Room,Toxic Gas Release,CRITICAL RISK
Sulfuric Acid (H₂SO₄),13,44,Polypropylene,10,Moderate,"Gloves, Safety Boots, Full Body Protective Suit, Safety Goggles",Hazardous Material Room,Explosion Risk,MEDIUM RISK
Picric Acid (C₆H₃N₃O₇),154,70,Borosilicate Glass,53,Good,"Full Body Protective Suit, Lab Coat, Safety Boots",Laboratory,Container Leakage,HIGH RISK
Methacrylic Acid (C₄H₆O₂),115,48,Fiber-Reinforced Plastic (FRP),57,Fume Hood Ventilation,"Full Body Protective Suit, Chemical Suit, Safety Goggles, Gloves, Eye Wash Station Access",Warehouse,Explosion Risk,HIGH RISK
Phosphoric Acid (H₃PO₄),184,73,PVC (Polyvinyl Chloride),93,Fume Hood Ventilation,"Full Body Protective Suit, Respirator Mask, Lab Coat, Chemical-resistant Gloves, Eye Wash Station Access",Laboratory,Acid Burn,CRITICAL RISK
Arsenic Acid (H₃AsO₄),3,26,Borosilicate Glass,12,Industrial Ventilation System,"Full Body Protective Suit, Safety Goggles, Chemical Suit, Gloves, Eye Wash Station Access",Hazardous Material Room,Acid Spill,LOW RISK
Sulfamic Acid (H₃NSO₃),1,26,Polypropylene,3,Moderate,"Respirator Mask, Chemical-resistant Gloves, Lab Coat, Face Shield",Outdoor Storage,None,LOW RISK
Oxalic Acid (C₂H₂O₄),258,70,Fiber-Reinforced Plastic (FRP),92,Good,"Safety Boots, Chemical Suit",Underground Storage,Acid Burn,CRITICAL RISK
Arsenic Acid (H₃AsO₄),73,75,Polypropylene,62,Fume Hood Ventilation,"Eye Wash Station Access, Chemical-resistant Gloves, Respirator Mask",Outdoor Storage,Container Leakage,HIGH RISK
Adipic Acid (C₆H₁₀O₄),52,38,Glass,22,High,Safety Goggles,Warehouse,Toxic Gas Release,MEDIUM RISK
Sulfamic Acid (H₃NSO₃),15,21,Fiber-Reinforced Plastic (FRP),10,Poor,"Gloves, Lab Coat, Chemical-resistant Gloves, Respirator Mask, Face Shield",Hazardous Material Room,Acid Spill,LOW RISK
Sulfamic Acid (H₃NSO₃),15,26,PVC (Polyvinyl Chloride),4,Low,"Chemical Suit, Face Shield, Safety Boots, Respirator Mask",Hazardous Material Room,Container Leakage,LOW RISK
Monochloroacetic Acid (C₂H₃ClO₂),42,37,Fiber-Reinforced Plastic (FRP),18,Moderate,"Eye Wash Station Access, Face Shield, Full Body Protective Suit, Chemical-resistant Gloves, Lab Coat",Hazardous Material Room,Explosion Risk,MEDIUM RISK
Oleic Acid (C₁₈H₃₄O₂),4,20,PTFE (Teflon-lined),2,Industrial Ventilation System,"Safety Goggles, Chemical Suit, Respirator Mask, Eye Wash Station Access",Factory Floor,None,LOW RISK
Gluconic Acid (C₆H₁₂O₇),80,73,HDPE Plastic,68,Low,Chemical-resistant Gloves,Laboratory,Container Leakage,HIGH RISK
Dichloroacetic Acid (C₂H₂Cl₂O₂),6,28,PTFE (Teflon-lined),0,Low,"Face Shield, Full Body Protective Suit",Outdoor Storage,Toxic Gas Release,LOW RISK
Formic Acid (HCOOH),282,77,PVC (Polyvinyl Chloride),96,Fume Hood Ventilation,"Lab Coat, Face Shield, Eye Wash Station Access, Chemical-resistant Gloves, Safety Boots",Hazardous Material Room,Toxic Gas Release,CRITICAL RISK
Hydrofluoric Acid (HF),39,40,PTFE (Teflon-lined),24,Good,"Gloves, Lab Coat, Chemical Suit, Face Shield",Cold Storage Unit,Corrosion Damage,MEDIUM RISK
Hydrochloric Acid (HCl),13,24,Carbon Steel (coated),15,Fume Hood Ventilation,"Chemical-resistant Gloves, Gloves",Factory Floor,Toxic Gas Release,LOW RISK
Trifluoroacetic Acid (CF₃COOH),1,29,Fiber-Reinforced Plastic (FRP),6,Good,"Chemical-resistant Gloves, Chemical Suit, Eye Wash Station Access",Cold Storage Unit,Toxic Gas Release,LOW RISK
Phosphoric Acid (H₃PO₄),149,44,Carbon Steel (coated),95,Industrial Ventilation System,"Face Shield, Safety Boots, Safety Goggles, Respirator Mask, Eye Wash Station Access",Hazardous Material Room,Acid Burn,HIGH RISK
